小美人鱼2
你是我的世界  You are my world
嗨 我是美莉缇  Hi. I'm Melody.
他叫迪普 我叫戴许  This here's Tip, and I'm Dash.
对不起啊 对陌生人掏心挖肺先生  Excuse me, Mr I Spill My Guts To Total Strangers.
你泄漏了我们的身份     我只是试着表示友善啊  You just blew our cover.     I was just trying to be friendly.
两位 我真的必须要走了  Uh, guys, I really need to get going,
所以… 只要你们能告诉我  so if you could just tell me...
看吧 现在她要走了 而这些全都是你的错  See? Now she's gonna leave, and it's all your fault.
我的错 这…  My fault?
两位…     她可能是对肥肉过敏  Guys...     She's probably allergic to blubber.
是吗？  Oh, yeah?
也许她只是不喜欢 那些不会飞的鸟  Well, maybe she doesn't like birds that can't fly
两位… 你也不会飞  Guys... Well, you can't fly either.
可是… 你的脸长得很抱歉  And you walk funny.
两位…     是吗 我…  Guys     Oh, yeah?
反正你不会飞  Well, you can't fly either
两位…  Guys
你们知道怎么去亚特蓝提卡 我的时间不多了  Do either of you know how to get to Atlantica? I don't have much time.
你为什么要去亚特蓝提卡  Why do you want to go to Atlantica?
我要帮朋友拿回被偷走的东西  I have to get something that was stolen from a friend.
如果没拿到 我就会变回一个…  If I don't, I'll turn back into...
什么？你会变回一个什么？  A what? Turn back into a what?
人类  A human.
我早就知道你有点儿奇怪  I knew there was something unfishy about you.
算你倒霉 小姐 写信给我们  Tough break, sister. Drop us a line.
告诉我们结果怎么样  Let us know how it all turns out.
我们带你去     你愿意  We'll take you.     You will?
我们愿意？     她现在是个落难中的少女  We will?     She's a damsel in distress.
这可是我们的机会  It's our big chance.
天啊  Whew. Hoo  boy.
我不相信我会这么做 谁来阻止我  I can't believe I'm doing this. Somebody stop me.
好吧 我们加入  All right, then, we're in.
到亚特蓝提卡吧  On to Atlantica
乘风破浪  Taming the tides
勇往直前  Swarming the seas
所有梭鱼麻烦你们听仔细  Beware, barracudas Drop to your knees
保护我们的朋友和海葵  Defending our friends and anemones
他像只鲸鱼  As big as a whale
还有个小小尾巴  With a much smaller tail
为朋友我们握紧拳头  Facing the foe with our fearless flukes
